Year,Protection,Commercial,Non_commercial
2006,MPA,0.003961141,0.016707216
2007,MPA,0.003519345,0.013327851
2008,MPA,0.00775,0.046675439
2009,MPA,0.001112155,0.010872576
2010,MPA,0.003794643,0.012171053
2011,MPA,0.004884005,0.022076023
2012,MPA,0.007129329,0.03104067
2013,MPA,0.022509398,0.051131117
2015,MPA,0.009943311,0.114143693
2016,MPA,0.003020833,0.071260965
2017,MPA,0.005110337,0.033156825
2018,MPA,0.003794643,0.074890351
2019,MPA,0.004102891,0.10120614
2020,MPA,0.007954545,0.060217305
2006,NP,0.005579036,0.01138664
2007,NP,0.006994048,0.013475877
2008,NP,0.003869048,0.023667341
2009,NP,0.001190476,0.004995127
2010,NP,0.016815476,0.007757675
2011,NP,0.00875496,0.078198099
2012,NP,0.005952381,0.010526316
2013,NP,0.040837585,0.058756266
2015,NP,0.005992063,0.040877193
2016,NP,0.000744048,0.024451754
2017,NP,0.002827381,0.027991855
2018,NP,0.00561756,0.012774123
2019,NP,0.003943452,0.025986842
2020,NP,0.013399621,0.058702153
