Species,Size ,Mobility ,Period_of_activity ,Gregariousness,Vertical_position_in_the_water_column ,Diet
Abudefduf_concolor,3,2,D,3,1,HD
Abudefduf_declivifrons,3,2,D,3,1,HD
Abudefduf_troschelii,3,2,D,4,2,Pk
Acanthurus_nigricans,4,2,D,3,2,HD
Acanthurus_xanthopterus,5,3,D,3,1,HD
Alphestes_immaculatus,3,1,N,1,1,IM
Aluterus_scriptus,6,3,D,1,2,OM
Anisotremus_interruptus,5,3,N,3,2,IM
Apogon_pacificus,2,1,N,3,2,Pk
Apogon_retrosella,2,1,N,3,2,Pk
Arothron_hispidus,4,2,D,1,2,IS
Arothron_meleagris,4,2,D,1,2,IS
Balistes_polylepis,5,3,D,1,1,IM
Bodianus_diplotaenia,5,3,D,1,1,IM
Cantherhines_dumerilii,4,3,D,2,2,OM
Canthigaster_punctatissima,2,1,D,2,1,IS
Caranx_caballus,5,4,D,3,2,FC
Caranx_caninus,6,4,D,4,2,FC
Caranx_sexfasciatus,6,4,N,4,2,FC
Caranx_vinctus,4,4,D,3,3,FC
Cephalopholis_panamensis,4,2,N,1,1,FC
Cephalopholis_colonus,4,4,D,4,2,Pk
Chaetodon_humeralis,3,2,D,3,3,OM
Chromis_atrilobata,2,2,D,4,2,Pk
Cirrhitichthys_oxycephalus,2,1,D,3,1,FC
Cirrhitus_rivulatus,5,2,D,1,1,FC
Coryphopterus_urospilus,1,1,D,1,1,IM
Diodon_holocanthus,4,2,N,1,1,IM
Diodon_hystrix,4,2,N,1,1,IM
Echidna_nebulosa,6,1,N,1,1,IM
Elagatis_bipinnulata,6,4,D,3,3,FC
Elacatinus_punticulatus,1,1,D,1,1,IS
Epinephelus_analogus,6,4,N,1,1,FC
Epinephelus_labriformis,5,3,N,1,1,FC
Fistularia_commersonii,6,4,D,3,2,FC
Haemulon_flaviguttatum,4,3,N,3,1,FC
Haemulon_maculicauda,3,3,N,4,1,FC
Haemulon_scudderii,4,3,N,4,1,FC
Haemulon_sexfasciatum,5,3,N,3,1,FC
Haemulon_steindachneri,3,3,N,4,2,IM
Halichoeres_chierchiae,3,2,D,3,1,IM
Halichoeres_dispilus,3,2,D,3,1,IM
Halichoeres_insularis,1,1,D,3,1,IM
Halichoeres_melanotis,2,2,D,3,1,IM
Halichoeres_nicholsi,4,2,D,3,1,IM
Halichoeres_notospilus,3,2,D,3,1,IM
Heteropriacanthus_cruentatus,5,2,N,3,2,IM
Hippocampus_ingens,3,1,N,1,1,Pk
Holacanthus_passer,4,2,D,3,2,IS
Hoplopagrus_guentherii,6,4,N,1,1,FC
Johnrandallia_nigrirostris,3,2,D,3,2,OM
Kyphosus_analogus,4,3,D,3,2,HD
Kyphosus_elegans,5,3,D,4,2,HD
Kyphosus_vaigiensis,5,3,D,4,2,HD
Lutjanus_argentiventris,5,3,N,4,1,FC
Lutjanus_guttatus,5,3,N,3,2,IM
Lutjanus_inermis,4,3,N,3,2,FC
Lutjanus_jordani,5,4,N,3,1,FC
Lutjanus_novemfasciatus,6,4,N,1,1,FC
Melichthys_niger,4,3,D,4,2,OM
Microspathodon_bairdii,3,1,D,1,1,HD
Microspathodon_dorsalis,4,1,D,1,1,HD
Mugil_curema,6,4,D,4,2,HD
Mulloidichthys_dentatus,4,2,N,4,1,IM
Myripristis_leiognathus,3,2,N,3,2,IM
Novaculichthys_taeniourus,3,2,D,1,1,IM
Ophioblennius_steindachneri,3,1,D,1,1,OM
Opistognathus_panamensis,2,1,D,1,1,Pk
Ostracion_meleagris,3,2,D,1,1,OM
Oxycirrhites_typus,2,1,D,1,1,Pk
Oxyporhamphus_micropterus_micropterus,3,4,D,1,3,Pk
Pareques_viola,3,3,N,3,1,IM
Plagiotremus_azaleus,2,1,D,1,1,FC
Platybelone_argalus_pterura,4,4,D,1,3,FC
Pomacanthus_zonipectus,4,2,D,1,2,IS
Prionurus_laticlavius,5,3,D,4,1,HD
Pseudobalistes_naufragium,6,3,D,1,2,IM
Rypticus_bicolor,3,1,N,1,1,FC
Sargocentron_suborbitale,3,2,N,1,2,IM
Scarus_compressus,5,3,D,3,1,HD
Scarus_ghobban,6,3,D,3,1,HD
Scarus_perrico,5,3,D,3,1,HD
Scarus_rubroviolaceus,5,3,D,3,1,HD
Scorpaena_mystes,4,1,N,1,1,FC
Kyphosus_ocyurus,5,4,D,3,3,Pk
Selar_crumenophthalmus,5,4,N,4,3,FC
Serranus_psittacinus,3,3,N,1,1,FC
Sphoeroides_annulatus,4,2,N,1,1,IS
Sphoeroides_lobatus,3,2,N,1,1,OM
Stegastes_acapulcoensis,3,1,D,3,1,OM
Stegastes_flavilatus,2,1,D,3,1,OM
Stegastes_leucorus,2,1,D,3,1,OM
Stegastes_rectifraenum,2,1,D,3,1,OM
Sufflamen_verres,4,3,D,1,1,IM
Synodus_lacertinus,3,2,N,1,1,FC
Thalassoma_lucasanum,2,1,D,3,1,IM
Trachinotus_rhodopus,5,4,D,4,2,FC
Tylosurus_pacificus,6,4,D,1,3,FC
Zanclus_cornutus,3,2,D,3,1,IS
